Ensembl Gene ID
ENSG00000159184
ENSG00000077152
ENSG00000089685
ENSG00000143228
ENSG00000094804
ENSG00000134057
ENSG00000176890
ENSG00000101057
ENSG00000138180
ENSG00000165304
ENSG00000080986
ENSG00000171848
ENSG00000175063
ENSG00000117724
ENSG00000164611
ENSG00000174371
ENSG00000011426
ENSG00000105173
ENSG00000117399
ENSG00000148773
ENSG00000142945
ENSG00000133627
ENSG00000136997
ENSG00000146648
ENSG00000186081
ENSG00000092621
ENSG00000062038
ENSG00000261857
ENSG00000128422
ENSG00000054598
ENSG00000104332
ENSG00000186847
ENSG00000091831
ENSG00000141424
ENSG00000107262
ENSG00000082175
ENSG00000171604
ENSG00000115648
ENSG00000171791
ENSG00000135679
ENSG00000171428
ENSG00000129514
ENSG00000106605
ENSG00000173890
ENSG00000160867
ENSG00000141738
ENSG00000151715
ENSG00000141736
ENSG00000107262
ENSG00000171791
ENSG00000134057
ENSG00000129226
ENSG00000175356
ENSG00000091831
ENSG00000141738
ENSG00000134184
ENSG00000141736
ENSG00000148773
ENSG00000101057
ENSG00000082175
ENSG00000087586
ENSG00000089685
ENSG00000075624
ENSG00000111640
ENSG00000169919
ENSG00000089157
ENSG00000072274
ENSG00000169679
ENSG00000134057
ENSG00000115163
ENSG00000139734
ENSG00000165304
ENSG00000101057
ENSG00000127564
ENSG00000068489
ENSG00000161800
ENSG00000163918
ENSG00000167900
ENSG00000108106
ENSG00000105327
ENSG00000135766
ENSG00000119699
ENSG00000164283
ENSG00000115461
ENSG00000156427
ENSG00000175356
ENSG00000119699
ENSG00000102755
ENSG00000152953
ENSG00000156136
ENSG00000165304
ENSG00000182197
ENSG00000128266
ENSG00000088881
ENSG00000147649
ENSG00000107959
ENSG00000175305
ENSG00000114346
ENSG00000115163
ENSG00000183814
ENSG00000076003
ENSG00000137804
ENSG00000180543
ENSG00000198863
ENSG00000198901
ENSG00000163918
ENSG00000108469
ENSG00000144354
ENSG00000143476
ENSG00000134871
ENSG00000152749
ENSG00000100985
ENSG00000185924
ENSG00000139734
ENSG00000143776
ENSG00000159423
ENSG00000087253
ENSG00000083720
ENSG00000163655
ENSG00000134202
ENSG00000059804
ENSG00000102755
ENSG00000156427
ENSG00000134871
ENSG00000152749
ENSG00000135766
ENSG00000100985
ENSG00000109255
ENSG00000116750
ENSG00000006125
ENSG00000166927
ENSG00000154917
ENSG00000119688
ENSG00000148700
ENSG00000081051
ENSG00000158578
